# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
precluding	verb	The present participle of preclude.
precompile	verb	If you precompile something, you compile it in advance.
precompiled	verb	The past tense and past participle of precompile.
precompiles	verb	The third-person singular form of precompile.
precompiling	verb	The present participle of precompile.
precompute	verb	If you precompute something, you compute it in advance.
precomputed	verb	The past tense and past participle of precompute.
precomputes	verb	The third-person singular form of precompute.
precomputing	verb	The present participle of precompute.
precondition	noun	A precondition is a condition that needs to be completed before taking a course of action.
precondition	noun	A precondition is a medical illness that exists before an insurance policy takes effect.
precondition	verb	If you precondition something, you condition it in advance.
preconditioned	verb	The past tense and past participle of precondition.
preconditioning	verb	The present participle of precondition.
preconditions	noun	The plural form of precondition; more than one (kind of) precondition.
preconditions	verb	The third-person singular form of precondition.
precook	verb	If you precook something, you cook it partially or completely in advance.
precooked	verb	The past tense and past participle of precook.
precooking	verb	The present participle of precook.
precooks	verb	The third-person singular form of precook.
precool	verb	If you precool something, you cool it in advance.
precooled	verb	The past tense and past participle of precool.
precooling	verb	The present participle of precool.
precools	verb	The third-person singular form of precool.
precursor	noun	A precursor is something that comes before; it is a predecessor, or a hint of events that have yet to happen.
precursors	noun	The plural form of precursor; more than one (kind of) precursor.
predate	verb	If A predates B, A exists or occurs before B.
predated	verb	The past tense and past participle of predate.
predates	verb	The third-person singular form of predate.
predating	verb	The present participle of predate.
predator	noun	A predator is an animal that goes after other animals for food, or energy.
predators	noun	The plural form of predator; more than one (kind of) predator.
predawn	adj	Period immediately preceding dawn.
predawn	adj	Period before dawn.
predecessor	noun	A predecessor is someone who held an office before the current holder (incumbent).
predecessors	noun	The plural form of predecessor; more than one (kind of) predecessor.
predecide	verb	If you predecide something, you decide it in advance.
predecided	verb	The past tense and past participle of predecide.
predecides	verb	The third-person singular form of predecide.
predeciding	verb	The present participle of predecide.
predefine	verb	If you predefine something, you define it in advance.
predefined	verb	The past tense and past participle of predefine.
predefines	verb	The third-person singular form of predefine.
predefining	verb	The present participle of predefine.
predeposit	verb	If you predeposit something, you deposit it in advance.
predeposited	verb	The past tense and past participle of predeposit.
predepositing	verb	The present participle of predeposit.
predeposits	verb	The third-person singular form of predeposit.
predesign	verb	If you predesign something, you design it in advance.
predesigned	verb	The past tense and past participle of predesign.
predesigning	verb	The present participle of predesign.
predesigns	verb	The third-person singular form of predesign.
predestine	verb	If you predestine something, you determine the future or the fate of something in advance
predestined	verb	The past tense and past participle of predestine.
predestines	verb	The third-person singular form of predestine.
predestining	verb	The present participle of predestine.
predetermine	verb	If you predetermine something, you determine or decide it in advance.
predetermined	verb	The past tense and past participle of predetermine.
predetermined	adj	If something is predetermined, it is planned before hand.
predetermines	verb	The third-person singular form of predetermine.
predetermining	verb	The present participle of predetermine.
predicament	noun	If a person is in a state of predicament, they are in a difficult or embarrassing situation.
predicaments	noun	The plural form of predicament; more than one (kind of) predicament.
predicand	noun	In clause structure, the phrase of which something is predicated is the predicand.
predicands	noun	The plural form of predicand; more than one (kind of) predicand.
predicate	noun	A predicate is the head of a clause and says something about the subject.
predicate	verb	If you predicate something, you state or assert it.
predicate	verb	If you predicate that something is true, you state that it is true.
predicated	verb	The past tense and past participle of predicate.
predicates	noun	The plural form of predicate; more than one (kind of) predicate.
predicates	verb	The third-person singular form of predicate.
predicating	verb	The present participle of predicate.
predicative	adj	The predicative use is the use of an adjective or other expression as predicative complement or predicative adjunct.
predicator	noun	In clause structure, the headword of the phrase functioning as predicate is the predicator.
predicators	noun	The plural form of predicator; more than one (kind of) predicator.
predict	verb	If you predict something, you say that it will happen before anyone observes it.
predictable	adj	If something is predictable, you know when or how it is going to happen.
predicted	verb	The past tense and past participle of predict.
predicting	verb	The present participle of predict.
prediction	noun	A prediction is an idea or guess of what will happen in the future.
prediction	noun	A prediction is a guess of the chance something will happen based on data.
predictions	noun	The plural form of prediction; more than one (kind of) prediction.
predicts	verb	The third-person singular form of predict.
predispose	verb	If something predisposes you to do something, it makes you inclined or prone to do something.
predisposed	adj	If something is predisposed to happen or to do something, it is in its nature to happen or to do so.
predisposed	verb	The past tense and past participle of predispose.
predisposes	verb	The third-person singular form of predispose.
predisposing	verb	The present participle of predispose.
predominant	adj	If something is predominant, it is common or widespread.
predominant	adj	If something is predominant, it is significant or important.
predominantly	adv	mostly, mainly
predrill	verb	If you predrill something, you drill a hole in advance for a second drilling.
predrilled	verb	The past tense and past participle of predrill.
predrilling	verb	The present participle of predrill.
predrills	verb	The third-person singular form of predrill.
preempt	verb	If you preempt something, you take actions to prevent something from happening.
preempt	verb	If you preempt something, you acquire something in advance.
preempted	verb	The past tense and past participle of preempt.
preempting	verb	The present participle of preempt.
preempts	verb	The third-person singular form of preempt.
prefabricate	verb	If you prefabricate something, you fabricate it in advance so it can be assembled together at another location.
prefabricated	verb	The past tense and past participle of prefabricate.
prefabricates	verb	The third-person singular form of prefabricate.
prefabricating	verb	The present participle of prefabricate.
preface	noun	A preface is the beginning or introductory portion that comes before the main text of a document or book.
preface	verb	If you preface something, you introduce or make a comment before the main point.
prefaced	verb	The past tense and past participle of preface.
prefaces	noun	The plural form of preface; more than one (kind of) preface.
prefaces	verb	The third-person singular form of preface.
prefacing	verb	The present participle of preface.
prefect	noun	A prefect is a school pupil who has the power to enforce discipline amongst other students.
prefect	noun	A prefect is the head of a prefecture in Japan.
prefects	noun	The plural form of prefect; more than one (kind of) prefect.
prefecture	noun	A prefecture is a region that is under the jurisdiction of a prefect.
prefectures	noun	The plural form of prefecture; more than one (kind of) prefecture.
prefer	verb	If you prefer something, you like it more than another thing.
preference	noun	A preference is something that you like more than others
preferences	noun	The plural form of preference; more than one (kind of) preference.
preferential	adj	If an action is preferential, it shows that preference is given towards a person.
preferred	verb	The past tense and past participle of prefer.
preferring	verb	The present participle of prefer.
prefers	verb	The third-person singular form of prefer.
prefile	verb	If you prefile something, you file it in advance.
prefiled	verb	The past tense and past participle of prefile.
prefiles	verb	The third-person singular form of prefile.
prefiling	verb	The present participle of prefile.
prefill	verb	If you prefill something, you fill it in advance.
prefilled	verb	The past tense and past participle of prefill.
prefilling	verb	The present participle of prefill.
prefills	verb	The third-person singular form of prefill.
prefix	noun	A prefix is an affix that is added to the beginning of a word. In English this usually changes the meaning.
prefixes	noun	The plural form of prefix; more than one (kind of) prefix.
pregnancies	noun	The plural form of pregnancy; more than one (kind of) pregnancy.
pregnancy	noun	A pregnancy when a female is pregnant.
pregnant	adj	If a female is pregnant, she has a baby growing inside her.
pregnant	adj	A pregnant silence has some meaning or feeling.
pregnant	adj	If something is pregnant with a quality, it has a lot of that quality.
preheat	verb	If you preheat something, you heat it in preparation for further action.
preheated	verb	The past tense and past participle of preheat.
preheating	verb	The present participle of preheat.
preheats	verb	The third-person singular form of preheat.
prehistoric	adj	If something is prehistoric, it is related to or denotes the period before written records.
prehistoric	adj	If something is prehistoric, it is very old.
prehistories	noun	The plural form of prehistory; more than one (kind of) prehistory.
prehistory	noun	Prehistory is the period of time before the invention of writing
preinstall	verb	If you preinstall a software, you install it in advance.
preinstalled	verb	The past tense and past participle of preinstall.
preinstalling	verb	The present participle of preinstall.
preinstalls	verb	The third-person singular form of preinstall.
prejudge	verb	If you prejudge a person, you judge them prematurely without having more information about them.
prejudged	verb	The past tense and past participle of prejudge.
prejudges	verb	The third-person singular form of prejudge.
prejudging	verb	The present participle of prejudge.
prejudice	noun	an unreasonable hatred for a group, usually a race or a religion, etc.
prejudice	noun	a belief, usually negative, that you have about something, before you know that it is actually right
prejudice	noun	an idea or preference you have towards something before you actually experience the thing
prejudiced	adj	Someone who is prejudiced has prejudice against somebody.
prejudiced	verb	The past tense and past participle of prejudice.
prejudices	noun	The plural form of prejudice; more than one (kind of) prejudice.
prejudices	verb	The third-person singular form of prejudice.
prejudicial	adj	If someone is prejudicial, they demonstrate prejudice.
prejudicing	verb	The present participle of prejudice.
preliminaries	noun	The plural form of preliminary; more than one (kind of) preliminary.
preliminary	adj	If something is preliminary, it is a preparation for a main matter.
preliminary	noun	A preliminary is a preparation for a main matter.
preliminary	prep	before
preload	verb	If you preload a software, you load it in advance.
preloaded	verb	The past tense and past participle of preload.
preloading	verb	The present participle of preload.
preloads	verb	The third-person singular form of preload.
prelude	noun	A prelude is an introductory or preliminary performance or event.
prelude	verb	If you prelude something, you introduce it as a prelude.
preluded	verb	The past tense and past participle of prelude.
preludes	noun	The plural form of prelude; more than one (kind of) prelude.
preludes	verb	The third-person singular form of prelude.
preluding	verb	The present participle of prelude.
premade	verb	The past tense and past participle of premake.
premake	verb	If you premake something, you make it in advance.
premakes	verb	The third-person singular form of premake.
premaking	verb	The present participle of premake.
premature	adj	Something is premature if it happens early, before the usual time.
prematurely	adv	If something happens prematurely, it means it happened too soon, before it was ready.
premeditate	verb	If you premeditate something, you plan it beforehand.
premeditated	verb	The past tense and past participle of premeditate.
premeditates	verb	The third-person singular form of premeditate.
premeditating	verb	The present participle of premeditate.
premelt	verb	If you premelt something, you melt it in advance.
premelted	verb	The past tense and past participle of premelt.
premelting	verb	The present participle of premelt.
premelts	verb	The third-person singular form of premelt.
premidnight	adj	Period from dusk to midnight.
premier	adj	Something that is premier is of the highest importance.
premier	noun	A premier is the head of government in parliament and leader of the cabinet.
premiere	noun	A premiere is the first showing of a movie, play, opera, musical, or other form of entertainment.
premiere	noun	A premiere is the first episode of a television show or the first episode of a season of that show.
premiere	verb	To premiere is to show or perform a stage work or film for the first time.
premiered	verb	The past tense and past participle of premiere.
premieres	noun	The plural form of premiere; more than one (kind of) premiere.
premieres	verb	The third-person singular form of premiere.
premiering	verb	The present participle of premiere.
premiers	noun	The plural form of premier; more than one (kind of) premier.
premise	noun	A premise is a set of ideas from which you can put forward an answer or reach conclusion.
premise	verb	If you premise, you make an argument based on findings.
premised	verb	The past tense and past participle of premise.
premises	noun	The plural form of premise; more than one (kind of) premise.
premises	noun	Premises is the land, and all the structures built on it.
premises	verb	The third-person singular form of premise.
premising	verb	The present participle of premise.
premium	noun	A premium is an amount of money paid for insurance.
premium	noun	Premium is something that high quality and in short supply.
premium	noun	A premium is a bonus or reward.
premiums	noun	The plural form of premium; more than one (kind of) premium.
premix	noun	A premix is a blend of ingredients that has been mixed in advance.
premix	verb	If you premix something, you mix it in advance.
premixed	verb	The past tense and past participle of premix.
premixes	noun	The plural form of premix; more than one (kind of) premix.
premixes	verb	The third-person singular form of premix.
premixing	verb	The present participle of premix.
premodified	verb	The past tense and past participle of premodify.
premodifies	verb	The third-person singular form of premodify.
premodify	verb	If you premodify something, you modify it in advance.
premodifying	verb	The present participle of premodify.
premonition	noun	A premonition is a strong feeling about something bad that might happen in the future.
premonitions	noun	The plural form of premonition; more than one (kind of) premonition.
prenatal	adj	Something that is prenatal happens before birth.
preoccupied	adj	To be preoccupied with someone or something means to have constant or excessive thoughts about someone or something.
preoccupied	verb	The past tense and past participle of preoccupy.
preoccupies	verb	The third-person singular form of preoccupy.
preoccupy	verb	Preoccupy means a person or thing that causes someone to have constant or excessive thoughts about.
preoccupying	verb	The present participle of preoccupy.
preordain	verb	If you preordain something, you decide its fate in advance.
preordained	verb	The past tense and past participle of preordain.
preordaining	verb	The present participle of preordain.
preordains	verb	The third-person singular form of preordain.
preorder	verb	If you preorder something, you order it in advance.
preordered	verb	The past tense and past participle of preorder.
preordering	verb	The present participle of preorder.
preorders	verb	The third-person singular form of preorder.
prep	noun	A prep is the preparation of something.
prep	verb	If you prep for something, you prepare yourself for it.
prepack	verb	If you prepack something, you pack it in advance.
prepacked	verb	The past tense and past participle of prepack.
prepacking	verb	The present participle of prepack.
prepacks	verb	The third-person singular form of prepack.
preparation	noun	Preparation is the act of preparing or getting something ready.
preparation	noun	Preparation is when something is prepared or ready for something.
preparations	noun	The plural form of preparation; more than one (kind of) preparation.
preparatory	adj	Preparatory work, meetings, etc. are related to getting ready for something.
preparatory	prep	If x is preparatory to y, x happens before y to get ready for y.
prepare	verb	When we prepare something, we get it ready.
prepared	verb	The past tense and past participle of prepare.
preparedness	noun	The preparedness of someone is how prepared they are.
prepares	verb	The third-person singular form of prepare.
preparing	verb	The present participle of prepare.
preplan	verb	If you preplan something, you plan it in advance.
preplanned	verb	The past tense and past participle of preplan.
preplanning	verb	The present participle of preplan.
preplans	verb	The third-person singular form of preplan.
preponderate	verb	If you preponderate someone, you become more important or influential than them.
preponderated	verb	The past tense and past participle of preponderate.
preponderates	verb	The third-person singular form of preponderate.
preponderating	verb	The present participle of preponderate.
preposition	noun	A preposition is a member of a group of words, or part of speech, that usually show where something happens. Typically a preposition is followed by a noun.
preposition	verb	If you preposition something, you place it in a location before some event occurs.
prepositioned	verb	The past tense and past participle of preposition.
prepositioning	verb	The present participle of preposition.
prepositions	noun	The plural form of preposition; more than one (kind of) preposition.
prepositions	verb	The third-person singular form of preposition.
prepossessing	adj	If something is prepossessing, it is attractive.
preposterous	adj	Something that is preposterous is ridiculous or unbelievable.
prepped	verb	The past tense and past participle of prep.
prepping	verb	The present participle of prep.
preps	noun	The plural form of prep; more than one (kind of) prep.
preps	verb	The third-person singular form of prep.
prequel	noun	A prequel is a story, book, or movie that comes or takes place before another one.
prequels	noun	The plural form of prequel; more than one (kind of) prequel.
prerecord	verb	If you prerecord something, you record it in advance.
prerecorded	verb	The past tense and past participle of prerecord.
prerecorded	adj	If something is prerecorded, it is recorded in advance.
prerecording	verb	The present participle of prerecord.
prerecords	verb	The third-person singular form of prerecord.
prerequisite	noun	A prerequisite is something you need to get something else.
prerequisites	noun	The plural form of prerequisite; more than one (kind of) prerequisite.
prerogative	noun	A prerogative is a right that someone has because of their job, age, skill, etc.
prerogatives	noun	The plural form of prerogative; more than one (kind of) prerogative.
presage	noun	A presage is a warning of a future event.
presage	verb	If you presage, you predict that something bad will happen in future.
presaged	verb	The past tense and past participle of presage.
presages	noun	The plural form of presage; more than one (kind of) presage.
presages	verb	The third-person singular form of presage.
presaging	verb	The present participle of presage.
presbyteries	noun	The plural form of presbytery; more than one (kind of) presbytery.
presbytery	noun	A presbytery is the home of a Roman Catholic parish priest.
presbytery	noun	A presbytery is group of elders in the early Christian church.
presbytery	noun	A presbytery is a section of the church reserved for the clergy.
preschool	adj	If something is preschool, it is related to the years of early childhood before attendance at a school.
preschool	noun	A preschool' is a nursery school.
preschool	verb	If you preschool a child, you provide them with nursery school education.
preschooled	verb	The past tense and past participle of preschool.
preschooler	noun	A preschooler is a child who has not yet attended school.
preschooler	noun	A preschooler is a child who is educated at preschool.
preschoolers	noun	The plural form of preschooler; more than one (kind of) preschooler.
preschooling	verb	The present participle of preschool.
preschools	noun	The plural form of preschool; more than one (kind of) preschool.
preschools	verb	The third-person singular form of preschool.
prescient	adj	Prescient people are able to know what will happen in the future.
prescribe	verb	If a doctor prescribes you a medicine or treatment, they tell you what medicine or treatment to use.
prescribe	verb	If someone prescribes a rule or a way to do something, they are telling people to follow that rule or do something a certain way.
prescribed	verb	The past tense and past participle of prescribe.
prescribes	verb	The third-person singular form of prescribe.
prescribing	verb	The present participle of prescribe.
prescription	noun	A written order, as by a physician, to tell which medicine to take and how many doses of it is needed.
prescriptions	noun	The plural form of prescription; more than one (kind of) prescription.
presence	noun	An instance of being around – being near, in sight.
presences	noun	The plural form of presence; more than one (kind of) presence.
present	noun	A present is a gift; something that someone gives to someone else.
present	noun	The present is the time now at this moment.
present	adj	Someone is present if the person is here, or the person is at the place someone is talking about.
presentation	noun	To show or speak in public about something, usually done in a formal way.
presentation	noun	An award or reward given out, usually at a ceremony or meeting.
presentations	noun	The plural form of presentation; more than one (kind of) presentation.
presented	verb	The past tense and past participle of present.
presenter	noun	A presenter is someone who presents a broadcast program.
presenter	noun	A presenter is someone who presents something to someone.
presenter	noun	A presenter is a small device used to remotely control a computerized slide show.
presenters	noun	The plural form of presenter; more than one (kind of) presenter.
presenting	verb	The present participle of present.
presents	noun	The plural form of present; more than one (kind of) present.
presents	verb	The third-person singular form of present.
preservation	noun	Preservation means the act of preserving something, to protect it and prevent damage or destruction from happening to it.
preservations	noun	The plural form of preservation; more than one (kind of) preservation.
preservative	noun	A preservative is something that preserves.
preservative	noun	A preservative is something that helps to keep the flavor of a food or drink, such as a soda.
preservatives	noun	The plural form of preservative; more than one (kind of) preservative.
preserve	noun	A hunting preserve is an area of land where hunting is allowed.
preserve	noun	A fruit preserve is a jam-like concoction.
preserve	verb	To preserve is to keep something from decay or loss.
preserved	verb	The past tense and past participle of preserve.
preserves	verb	The third-person singular form of preserve.
preserving	verb	The present participle of preserve.
preset	noun	A preset is a setting that is set in advance.
preset	verb	If you preset something, you set it in advance.
presets	noun	The plural form of preset; more than one (kind of) preset.
presets	verb	The third-person singular form of preset.
presetting	verb	The present participle of preset.
preside	verb	Preside means to sit as an authority over, to control or to rule.
presided	verb	The past tense and past participle of preside.
presidencies	noun	The plural form of presidency; more than one (kind of) presidency.
presidency	noun	Presidency is the time when a person is serving as a president.
president	noun	A president is the person in charge of a country.
president	noun	A president is the leader of a business.
presidential	adj	Related to the president.
presidential	adj	If somebody is presidential, they seem or act like a president.
presidents	noun	The plural form of president; more than one (kind of) president.
presides	verb	The third-person singular form of preside.
presiding	verb	The present participle of preside.
press	noun	The press are the people and organisations that report the news.
press	noun	The press is the news as it is reported.
press	noun	A press is a company that prints books.
pressed	verb	The past tense and past participle of press.
pressed	adj	: This short section needs someone to add to it.
presses	noun	The plural form of press; more than one (kind of) press.
presses	verb	The third-person singular form of press.
pressing	adj	If something is pressing, it needs attention now.
pressing	adj	If something is pressing, it is insistent or persistent.
pressing	verb	The present participle of press.
pressings	noun	The plural form of pressing; more than one (kind of) pressing.
pressure	noun	In science, pressure is force applied over an area.
pressure	noun	If a person is under pressure, they feel stressed.
pressure	verb	When you pressure someone, you try to make them do something, especially something they do not want to do.
pressured	verb	The past tense and past participle of pressure.
pressures	noun	The plural form of pressure; more than one (kind of) pressure.
pressures	verb	The third-person singular form of pressure.
pressuring	verb	The present participle of pressure.
pressurise	verb	If something is pressurised, it is maintained at a raised pressure artificially in a gas or its container.
pressurise	verb	If you pressurise someone to do something, you attempt to persuade them into doing something.
pressurised	verb	The past tense and past participle of pressurise.
pressurises	verb	The third-person singular form of pressurise.
pressurising	verb	The present participle of pressurise.
pressurize	verb	If something is pressurized, it is maintained at a raised pressure artificially in a gas or its container.
pressurize	verb	If you pressurize someone to do something, you attempt to persuade them into doing something.
pressurized	verb	The past tense and past participle of pressurize.
pressurizes	verb	The third-person singular form of pressurize.
pressurizing	verb	The present participle of pressurize.
prestige	noun	Prestige is the quality of how good the reputation of something or someone is.
prestigious	adj	If something is prestigious, it is respected and admired.
presumable	adj	If something is presumable, it can be presumed.
presumably	adv	You use presumably to show that you expect or believe something to be true, but you don't know.
presume	verb	If you presume something, you believe that it is true without evidence.
presume	verb	If you presume to do something, you do it though it is rude or wrong.
presume	verb	If x presumes y, then x requires y and builds on it.
presumed	verb	The past tense and past participle of presume.
presumes	verb	The third-person singular form of presume.
presuming	verb	The present participle of presume.
presumption	noun	A presumption is a belief that something is true without knowing for sure.
presumption	noun	Presumption is behaviour that is too friendly or too confident.
presumptions	noun	The plural form of presumption; more than one (kind of) presumption.
presumptuous	adj	If someone is presumptuous, they don't know the limits of what is appropriate or allowed.
presuppose	verb	If you presuppose something, you assume that it is true without proof.
presupposed	verb	The past tense and past participle of presuppose.
presupposes	verb	The third-person singular form of presuppose.
presupposing	verb	The present participle of presuppose.
pretence	noun	Pretence is the behaviour to make people believe what the pretender is doing.
pretences	noun	The plural form of pretence; more than one (kind of) pretence.
pretend	verb	If you pretend that something is true, you play that it is true but you know that it is not.
pretend	adj	If something is pretend, it's not real but is used for play.
pretended	verb	The past tense and past participle of pretend.
pretending	verb	The present participle of pretend.
pretends	verb	The third-person singular form of pretend.
pretense	noun	Pretense is the behaviour to make people believe what the pretender is doing.
pretenses	noun	The plural form of pretense; more than one (kind of) pretense.
prettier	adj	The comparative form of pretty; more pretty.
prettiest	adj	The superlative form of pretty; most pretty.
prettiness	noun	The prettiness of someone is how pretty they are.
pretty	adv	You use pretty before an adjective or adverb to mean "more than a little".
pretty	adv	You use pretty before an adjective or adverb to mean "very".
pretty	adj	If something is pretty, people like to look at it.
prevail	verb	If something prevails, it shows that it is superior or better in strength against others.
prevail	verb	If you prevail, you succeed in persuading someone.
prevailed	verb	The past tense and past participle of prevail.
prevailing	adj	If something is prevailing, it exists at a certain time.
prevailing	adj	If something is prevailing, it has the most influence over another thing.
prevailing	verb	The present participle of prevail.
prevails	verb	The third-person singular form of prevail.
prevalent	adj	If something is prevalent, it is widespread at a certain area and time.
prevaricate	verb	If a person prevaricates, they deviate from the truth.
prevaricated	verb	The past tense and past participle of prevaricate.
prevaricates	verb	The third-person singular form of prevaricate.
prevaricating	verb	The present participle of prevaricate.
prevent	verb	When you prevent something, you stop it from happening.
preventable	adj	If something is preventable, it can be prevented.
prevented	verb	The past tense and past participle of prevent.
preventible	adj	If something is preventible, it can be prevented.
preventing	verb	The present participle of prevent.
prevention	noun	The act of preventing something or hindering it; when someone or something is stopped from getting close, getting inside, or doing something.
preventive	adj	If something is preventive, it is done to prevent something from happening.
prevents	verb	The third-person singular form of prevent.
preview	noun	A preview is a showing of a work like a movie, play, or painting, before the public are able to see it.
preview	noun	A preview can be a short sample from a movie, used as an advertisement before the movie is ready to be shown to the public.
preview	verb	If you preview something, you get to see it before everyone else.
previewed	verb	The past tense and past participle of preview.
previewing	verb	The present participle of preview.
previews	noun	The plural form of preview; more than one (kind of) preview.
previews	verb	The third-person singular form of preview.
previous	adj	If something happened at a previous time, it happened before a particular time.
previous	prep	You use previous to refer to a time before something else.
previously	adv	If something was done previously, it was done before.
prey	noun	A prey is an animal that is hunted and killed by another for food.
prey	verb	If you are preying on something, you are acting like a predator.
preyed	verb	The past tense and past participle of prey.
preying	verb	The present participle of prey.
preys	noun	The plural form of prey; more than one (kind of) prey.
preys	verb	The third-person singular form of prey.
priapisms	noun	The plural form of priapism; more than one (kind of) priapism.
price	noun	The amount of money you need to pay to buy something.
price	verb	: This short section needs someone to add to it.
priced	verb	The past tense and past participle of price.
priceless	adj	If something is priceless, it is so valuable or special that nobody would try to sell it.
prices	noun	The plural form of price; more than one (kind of) price.
prices	verb	The third-person singular form of price.
pricey	adj	If something is pricey, it costs a lot of money.
pricier	adj	The comparative form of pricey; more pricey.
priciest	adj	The superlative form of pricey; most pricey.
pricing	verb	The present participle of price.
prick	noun	A prick is a short pain from a small sharp object like a needle.
prick	verb	If you prick something, it means that you pierce or poke it slightly.
pricked	verb	The past tense and past participle of prick.
pricking	verb	The present participle of prick.
prickle	noun	A prickle is a small and sharp pointed object, such as a thorn.
prickle	noun	A prickle is a tingling sensation of mild discomfort.
prickle	verb	If a person prickles, they feel a tingling sensation.
prickled	verb	The past tense and past participle of prickle.
prickles	noun	The plural form of prickle; more than one (kind of) prickle.
prickles	verb	The third-person singular form of prickle.
pricklier	adj	The comparative form of prickly; more prickly.
prickliest	adj	The superlative form of prickly; most prickly.
prickling	verb	The present participle of prickle.
prickly	adj	If something is prickly, it is covered with sharp points.
prickly	adj	A prickly person is someone who is irritated easily.
pricks	noun	The plural form of prick; more than one (kind of) prick.
pride	noun	Pride is the state of being proud.
pride	noun	A pride is a group of lions.
prides	noun	The plural form of pride; more than one (kind of) pride.
pried	verb	The past tense and past participle of pry.
pries	verb	The third-person singular form of pry.
priest	noun	A priest is a person who leads or performs ceremonies in a religion.
priestess	noun	A priestess is a female priest who performs ceremonies in a religion
priestesses	noun	The plural form of priestess; more than one (kind of) priestess.
priesthood	noun	Clergymen as a group; the clergy.
priesthoods	noun	The plural form of priesthood; more than one (kind of) priesthood.
priestlier	adj	The comparative form of priestly; more priestly.
priestliest	adj	The superlative form of priestly; most priestly.
priestliness	noun	Priestliness is the state or quality of being a priest.
priestly	adj	When something is priestly, it is related to priests or a high religious position.
priests	noun	The plural form of priest; more than one (kind of) priest.
prim	adj	A prim person is someone who feels or shows disapproval of everything that is improper.
prim	verb	If a person prims, they purse their lips or mouth to show disapproval of everything that is improper.
primaries	noun	The plural form of primary; more than one (kind of) primary.
primarily	adv	Primarily means mostly.
primary	adj	first.
primary	adj	most important.
primary	adj	most basic, simplest.
primate	noun	A primate is a family of mammals, with well developed hands and feet, short noses, and large brains.
primate	noun	A primate is the highest ranking bishop in a country.
primates	noun	The plural form of primate; more than one (kind of) primate.
prime	adj	If something is prime, it is best, most important, most suitable, or in some way number one.
prime	noun	The prime is the best part of something.
prime	noun	A prime is a number that can be evenly divided only by one and itself.
primed	verb	The past tense and past participle of prime.
primer	noun	A primer is a part of a pistol, rifle and other firearms that is used to ignite gunpowder or other explosives when struck by the firing pin.
primers	noun	The plural form of primer; more than one (kind of) primer.
primes	noun	The plural form of prime; more than one (kind of) prime.
primes	verb	The third-person singular form of prime.
priming	verb	The present participle of prime.
primitive	adj	If an object is primitive, it is simple and created without much skill.
primmed	verb	The past tense and past participle of prim.
primmer	adj	The comparative form of prim; more prim.
primmest	adj	The superlative form of prim; most prim.
primming	verb	The present participle of prim.
prims	verb	The third-person singular form of prim.
prince	noun	A prince is the son of the king and queen in a country, and brother of the princess. The prince can also be the husband of a princess.
prince	noun	A prince is a man of high nobility but not of the royalty.
princeps	noun	A princeps can be a leader, first in importance.
princeps	noun	A princeps can mean a prince or sovereign.
princeps	noun	princeps can mean a chief or director.
princes	noun	The plural form of prince; more than one (kind of) prince.
princess	noun	A princess is the daughter of the king and queen of a country, and sister of the prince. The princess can also be the wife of a prince.
princesses	noun	The plural form of princess; more than one (kind of) princess.
principal	adj	The principal thing is the main or most important one.
principal	noun	In American English, a principal is the head of a school. (headmaster in British English)
principal	noun	The principal is the most important person in a business, or an artistic group such as a dancers.
principalities	noun	The plural form of principality; more than one (kind of) principality.
principality	noun	A principality is the process of being a ruler, prince, or other person of power.
principality	noun	A principality is an area that is ruled by a prince or princess.
principality	noun	A principality is the state of being principal; pre-eminence.
principals	noun	The plural form of principal; more than one (kind of) principal.
principes	noun	The plural form of princeps; more than one (kind of) princeps.
principle	noun	Principles are personal rules that tell you what is right and wrong.
principle	noun	A principle is the general idea that explains or supports something.
principles	noun	The plural form of principle; more than one (kind of) principle.
print	verb	If you print a picture, book, newspaper, etc., you make a copy of it on paper with a machine using ink or toner.
print	verb	If you print words or letters, you write them by hand in a block style, not a cursive style.
print	noun	Print is letters, numerals, punctuation and other similar written symbols.
printability	noun	The printability of something is how printable it is.
printable	adj	If something is printable, it can be printed.
printed	verb	The past tense and past participle of print.
printer	noun	A person who makes prints.
printer	noun	The person who runs a printing press or the owner of a printing business.
printer	noun	A machine, usually attached to a computer, used to print words or images onto paper.
printers	noun	The plural form of printer; more than one (kind of) printer.
printing	verb	The present participle of print.
printing	noun	: This short section needs someone to add to it.
printings	noun	The plural form of printing; more than one (kind of) printing.
prints	verb	The third-person singular form of print.
prints	noun	The plural form of print; more than one (kind of) print.
prior	prep	If something happens prior to something else, it happens before it.
prior	adj	occurring before
priorities	noun	The plural form of priority; more than one (kind of) priority.
prioritisation	noun	Prioritisation is the process of assigning priorities to tasks.
prioritisations	noun	The plural form of prioritisation; more than one (kind of) prioritisation.
prioritise	verb	If you prioritise something, you put it first in a group of things in order of their importance.
prioritise	verb	If you prioritise a number of tasks, you rank them in order of their importance.
